+--------------------------------------+----------------------------------------------------------------------+
|               Package                |                               License                                |
+--------------------------------------+----------------------------------------------------------------------+
|            absl-py 1.4.0             |                              Apache 2.0                              |
|          accelerate 0.23.0           |                                Apache                                |
|             ale-py 0.8.1             |                                GPLv2                                 |
|            alembic 1.12.1            |                                 MIT                                  |
|     antlr4-python3-runtime 4.9.3     |                                 BSD                                  |
|          anyio 4.6.2.post1           |                                 MIT                                  |
|            appdirs 1.4.4             |                                 MIT                                  |
|            archspec 0.2.3            |                          Apache-2.0 OR MIT                           |
|          argon2-cffi 23.1.0          |                         (Licence not found)                          |
|     argon2-cffi-bindings 21.2.0      |                                 MIT                                  |
|     arm-pytorch-utilities 0.4.3      |          Copyright (c) 2023 University of Michigan ARM Lab           |
|             arrow 1.3.0              |                         (Licence not found)                          |
|           asttokens 2.4.1            |                              Apache 2.0                              |
|           async-lru 2.0.4            |                             MIT License                              |
|             attrs 24.2.0             |                         (Licence not found)                          |
|            AutoROM 0.6.1             |                                 MIT                                  |
|   AutoROM.accept-rom-license 0.6.1   |                                 MIT                                  |
|             babel 2.16.0             |                             BSD-3-Clause                             |
|        beautifulsoup4 4.12.3         |                             MIT License                              |
|             bleach 6.2.0             |                       Apache Software License                        |
|             bokeh 3.5.1              |         Copyright (c) Anaconda, Inc., and Bokeh Contributors         |
|            boltons 24.0.0            |                                 BSD                                  |
|            box2d-py 2.3.5            |                                 zlib                                 |
|             Brotli 1.0.9             |                                 MIT                                  |
|              bs4 0.0.2               |                             MIT License                              |
|        cached-property 1.5.2         |                                 BSD                                  |
|           cachetools 5.3.1           |                                 MIT                                  |
|           certifi 2024.7.4           |                               MPL-2.0                                |
|             cffi 1.17.0              |                                 MIT                                  |
|            chardet 5.2.0             |                                 LGPL                                 |
|       charset-normalizer 3.3.2       |                                 MIT                                  |
|             click 8.1.7              |                             BSD-3-Clause                             |
|          cloudpickle 2.2.1           |                         BSD 3-Clause License                         |
|            cmake 3.27.4.1            |                              Apache 2.0                              |
|            colorama 0.4.6            |                         (Licence not found)                          |
|            colorlog 6.7.0            |                             MIT License                              |
|              comm 0.2.2              |                         BSD 3-Clause License                         |
|             conda 23.7.4             |                         BSD 3-Clause License                         |
|     conda-libmamba-solver 23.7.0     |                         BSD 3-Clause License                         |
|     conda-package-handling 2.2.0     |                         (Licence not found)                          |
|    conda-package-streaming 0.9.0     |                         (Licence not found)                          |
|           contourpy 1.2.1            |                         BSD 3-Clause License                         |
|         cryptography 42.0.2          |                      Apache-2.0 OR BSD-3-Clause                      |
|            cycler 0.12.1             |                Copyright (c) 2015, matplotlib project                |
|            Cython 0.29.36            |                                Apache                                |
|            cytoolz 0.12.3            |                                 BSD                                  |
|             dacite 1.8.1             |                                 MIT                                  |
|            dask 2023.6.0             |                                 BSD                                  |
|          DataProperty 1.0.1          |                             MIT License                              |
|            debugpy 1.8.7             |                                 MIT                                  |
|           decorator 5.1.1            |                           new BSD License                            |
|           defusedxml 0.7.1           |                                 PSFL                                 |
|  denoising-diffusion-pytorch 1.8.11  |                                 MIT                                  |
|           DiffDAgger 0.0.0           |                         (Licence not found)                          |
|        diffusers 0.28.0.dev0         |                          Apache 2.0 License                          |
|         distributed 2023.6.0         |                                 BSD                                  |
|             distro 1.9.0             |                     Apache License, Version 2.0                      |
|         docker-pycreds 0.4.0         |                          Apache License 2.0                          |
|        docstring-parser 0.16         |                                 MIT                                  |
|             einops 0.6.1             |                                 MIT                                  |
|          ema-pytorch 0.2.3           |                                 MIT                                  |
|             etils 1.6.0              |                         (Licence not found)                          |
|           executing 2.1.0            |                                 MIT                                  |
|      Farama-Notifications 0.0.4      |                         (Licence not found)                          |
|        fast-kinematics 0.2.2         |                                 MIT                                  |
|            fasteners 0.18            |                               ASL 2.0                                |
|        fastjsonschema 2.20.0         |                                 BSD                                  |
|           filelock 3.12.3            |                         (Licence not found)                          |
|           fonttools 4.53.1           |                                 MIT                                  |
|              fqdn 1.5.1              |                               MPL 2.0                                |
|           fsspec 2023.9.0            |                                 BSD                                  |
|             gdown 5.2.0              |                                 MIT                                  |
|             gitdb 4.0.11             |                             BSD License                              |
|           GitPython 3.1.43           |                             BSD-3-Clause                             |
|              glfw 2.6.2              |                                 MIT                                  |
|          google-auth 2.23.0          |                              Apache 2.0                              |
|      google-auth-oauthlib 1.0.0      |                              Apache 2.0                              |
|             GPUtil 1.4.0             |                                 MIT                                  |
|            greenlet 3.0.1            |                             MIT License                              |
|            grpcio 1.58.0             |                          Apache License 2.0                          |
|              gym 0.26.2              |                                 MIT                                  |
|          gym-avoiding 0.0.1          |                         (Licence not found)                          |
|          gym-notices 0.0.8           |                         (Licence not found)                          |
|           gymnasium 0.29.1           |                             MIT License                              |
